question,truth
20008_clueweb09-enwp01-19-20724,2
20340_clueweb09-en0005-00-19206,0
20480_clueweb09-en0009-33-89782,3
20206_clueweb09-en0009-45-33312,1
20530_clueweb09-en0009-33-50742,3
20022_clueweb09-en0008-15-01798,2
20484_clueweb09-en0002-91-14529,0
20330_clueweb09-en0009-33-72982,3
20986_clueweb09-en0004-15-28951,2
20986_clueweb09-en0004-15-28952,2
20244_clueweb09-en0007-15-33362,0
20484_clueweb09-en0009-33-59972,3
20962_clueweb09-enwp00-47-19131,1
20530_clueweb09-en0009-33-30182,3
20690_clueweb09-en0010-22-44362,1
20340_clueweb09-en0009-14-23941,0
20298_clueweb09-en0009-33-49292,3
20026_clueweb09-en0003-74-12212,1
20446_clueweb09-en0009-33-93902,3
20530_clueweb09-en0009-33-67922,3
20832_clueweb09-en0011-55-06332,1
20528_clueweb09-en0011-85-12847,0
20298_clueweb09-en0000-11-01855,1
20300_clueweb09-en0009-33-55352,3
20530_clueweb09-en0009-33-90062,3
20076_clueweb09-en0001-13-08462,1
20480_clueweb09-en0010-23-29108,2
20480_clueweb09-en0009-33-45032,3
20714_clueweb09-en0009-33-82652,3
20766_clueweb09-en0005-92-29367,0
20416_clueweb09-en0005-52-07383,0
20508_clueweb09-en0006-29-02142,0
20686_clueweb09-en0010-59-35965,1
20300_clueweb09-en0003-89-25002,0
20296_clueweb09-enwp00-30-06666,2
20812_clueweb09-en0009-82-39366,0
20446_clueweb09-en0003-77-29418,0
20962_clueweb09-en0008-69-02287,0
20976_clueweb09-en0001-70-17784,1
20144_clueweb09-en0004-54-00185,0
20384_clueweb09-en0004-10-35360,1
20232_clueweb09-en0010-66-02202,2
20446_clueweb09-en0005-56-33055,2
20008_clueweb09-en0007-32-10026,1
20018_clueweb09-en0004-13-02783,2
20224_clueweb09-en0009-80-05558,0
20214_clueweb09-en0009-33-54252,3
20170_clueweb09-en0003-36-30819,0
20780_clueweb09-en0002-28-35160,0
20528_clueweb09-en0009-33-56412,3
20686_clueweb09-en0010-59-35966,1
20160_clueweb09-enwp01-82-06823,1
20764_clueweb09-enwp02-29-04071,0
20644_clueweb09-enwp03-21-14502,0
20636_clueweb09-en0009-33-19192,3
20446_clueweb09-en0009-33-34522,3
20374_clueweb09-en0010-99-19836,0
20044_clueweb09-en0010-55-41028,1
20186_clueweb09-en0002-68-07339,2
20012_clueweb09-en0010-89-22660,2
20480_clueweb09-en0005-57-04518,1
20046_clueweb09-enwp03-09-15942,2
20686_clueweb09-en0009-33-84422,3
20398_clueweb09-enwp02-01-15354,2
20780_clueweb09-en0011-62-14929,0
20922_clueweb09-en0009-33-00482,3
20300_clueweb09-en0009-33-54302,3
20228_clueweb09-en0007-70-27728,0
20298_clueweb09-en0009-33-54992,3
20484_clueweb09-en0009-33-86852,3
20690_clueweb09-en0005-62-45078,2
20040_clueweb09-en0009-42-17189,2
20686_clueweb09-en0009-33-18512,3
20440_clueweb09-en0009-33-55352,3
20542_clueweb09-enwp02-03-17337,0
20352_clueweb09-en0003-24-00264,0
20962_clueweb09-en0000-54-34713,0
20300_clueweb09-en0007-85-09566,0
20144_clueweb09-enwp00-78-08706,2
20064_clueweb09-en0009-33-63862,3
20196_clueweb09-en0011-38-15702,1
20228_clueweb09-en0007-79-39017,0
20224_clueweb09-en0006-04-11151,0
20812_clueweb09-en0009-33-45022,3
20696_clueweb09-en0009-33-64952,3
20144_clueweb09-en0001-60-24485,0
20224_clueweb09-en0009-79-17908,0
20962_clueweb09-en0009-33-22522,3
20424_clueweb09-en0005-47-03013,1
20180_clueweb09-enwp00-68-01735,0
20330_clueweb09-en0009-33-55352,3
20704_clueweb09-enwp01-42-04116,0
20642_clueweb09-en0009-33-01452,3
20196_clueweb09-en0009-50-11414,1
20034_clueweb09-enwp00-49-22601,2
20308_clueweb09-en0009-33-67092,3
20076_clueweb09-en0009-33-31942,3
20064_clueweb09-en0002-61-19869,0
20308_clueweb09-en0006-46-03115,1
20642_clueweb09-en0000-44-08906,1
20922_clueweb09-en0009-33-72942,3
20298_clueweb09-en0007-03-35351,0
20038_clueweb09-enwp01-80-14604,2
20298_clueweb09-en0007-03-35359,2
20042_clueweb09-enwp03-35-07590,1
20416_clueweb09-en0004-85-17613,0
20076_clueweb09-enwp00-21-01244,0
20446_clueweb09-en0010-54-31423,1
20224_clueweb09-en0009-33-18762,3
20180_clueweb09-en0005-67-10060,1
20202_clueweb09-en0009-33-41612,3
20232_clueweb09-en0011-63-30701,2
20932_clueweb09-en0009-33-75812,3
20922_clueweb09-en0009-33-53072,3
20764_clueweb09-enwp00-06-17116,2
20298_clueweb09-en0009-33-54432,3
20214_clueweb09-en0009-33-81932,3
20006_clueweb09-en0008-42-07054,1
20780_clueweb09-en0011-62-14923,0
20176_clueweb09-en0001-17-01758,0
20446_clueweb09-en0008-13-16332,2
20032_clueweb09-en0004-68-33033,2
20374_clueweb09-en0008-77-31338,1
20910_clueweb09-en0009-33-91622,3
20308_clueweb09-en0009-33-55352,3
20112_clueweb09-enwp00-68-15154,2
20778_clueweb09-en0003-10-23115,1
20050_clueweb09-en0011-85-09792,2
20416_clueweb09-en0011-97-26629,0
20832_clueweb09-en0004-55-25162,1
20012_clueweb09-en0009-33-9683,3
20016_clueweb09-en0005-88-21541,2
20636_clueweb09-enwp01-53-23169,2
20528_clueweb09-enwp01-77-02965,2
20160_clueweb09-en0009-33-18702,3
20298_clueweb09-en0004-77-14123,0
20012_clueweb09-en0009-33-1166,3
20254_clueweb09-en0009-33-80772,3
20300_clueweb09-en0009-33-55182,3
20764_clueweb09-en0007-18-39191,1
20384_clueweb09-en0003-49-24350,1
20412_clueweb09-en0005-39-17221,1
20996_clueweb09-en0009-33-03132,3
20416_clueweb09-en0000-05-30900,0
20986_clueweb09-en0005-95-25041,0
20296_clueweb09-en0009-33-29262,3
20042_clueweb09-enwp01-91-12191,2
20298_clueweb09-en0009-33-36642,3
20300_clueweb09-en0003-89-24954,0
20244_clueweb09-enwp02-27-01119,2
20956_clueweb09-en0001-79-29000,1
20972_clueweb09-en0011-77-10789,0
20298_clueweb09-en0009-33-56102,3
20300_clueweb09-en0010-44-21160,0
20030_clueweb09-en0009-33-2157,3
20042_clueweb09-enwp02-00-11595,1
20412_clueweb09-en0000-65-03377,0
20202_clueweb09-en0007-48-19920,0
20010_clueweb09-en0000-69-07261,0
20298_clueweb09-en0009-33-28662,3
20542_clueweb09-en0009-33-69872,3
20764_clueweb09-en0009-76-25995,0
20038_clueweb09-en0002-15-26884,2
20002_clueweb09-en0009-33-5110,3
20254_clueweb09-en0009-26-32598,0
20026_clueweb09-en0005-08-41696,1
20384_clueweb09-en0009-33-54752,3
20584_clueweb09-en0004-78-20617,0
20446_clueweb09-en0009-33-91852,3
20508_clueweb09-en0009-33-80812,3
20030_clueweb09-en0005-81-38455,2
20916_clueweb09-en0004-51-27956,1
20446_clueweb09-en0008-56-13949,1
20986_clueweb09-en0000-14-07885,0
20694_clueweb09-enwp02-03-04322,2
20932_clueweb09-en0007-21-07093,0
20424_clueweb09-en0010-28-39911,0
20976_clueweb09-en0003-75-08972,1
20976_clueweb09-en0009-33-76082,3
20424_clueweb09-en0010-28-39918,0
20244_clueweb09-en0008-55-19270,0
20986_clueweb09-en0000-27-06774,1
20686_clueweb09-en0009-33-84562,3
20244_clueweb09-enwp01-63-11100,0
20012_clueweb09-en0011-78-00514,2
20508_clueweb09-en0000-22-09707,0
20170_clueweb09-en0005-30-34425,1
20228_clueweb09-en0009-33-46422,3
20440_clueweb09-en0008-36-00361,0
20420_clueweb09-en0009-33-05432,3
20910_clueweb09-enwp03-26-22606,0
20642_clueweb09-en0007-81-28821,0
20958_clueweb09-en0009-33-02872,3
20340_clueweb09-en0000-66-05608,0
20270_clueweb09-en0000-33-05298,1
20254_clueweb09-en0011-71-09193,1
20034_clueweb09-en0006-35-08716,2
20416_clueweb09-en0004-36-29203,0
20224_clueweb09-en0001-77-30036,1
20916_clueweb09-en0011-35-03831,0
20446_clueweb09-en0009-33-99982,3
20010_clueweb09-en0007-60-29595,2
20480_clueweb09-en0009-33-67352,3
20780_clueweb09-en0004-37-01454,0
20160_clueweb09-en0002-44-02007,0
20028_clueweb09-enwp01-03-12149,2
20224_clueweb09-en0009-80-05537,0
20832_clueweb09-en0004-00-06286,0
20696_clueweb09-enwp01-43-07651,2
20644_clueweb09-en0000-66-07222,0
20962_clueweb09-en0005-06-13442,0
20308_clueweb09-en0007-71-26769,1
20636_clueweb09-en0009-33-90732,3
20484_clueweb09-en0004-28-08675,1
20196_clueweb09-en0004-52-08970,0
20016_clueweb09-en0005-88-21681,2
20016_clueweb09-en0005-88-21683,2
20016_clueweb09-en0005-88-21682,2
20958_clueweb09-en0008-92-23792,0
20032_clueweb09-en0011-64-04517,0
20206_clueweb09-en0005-44-03300,1
20704_clueweb09-enwp01-30-00273,0
20180_clueweb09-en0005-76-17515,0
20144_clueweb09-en0007-71-17043,1
20254_clueweb09-en0009-33-69742,3
20374_clueweb09-en0003-67-03799,0
20812_clueweb09-en0007-96-05137,2
20270_clueweb09-en0009-33-55352,3
20764_clueweb09-enwp00-19-17243,0
20778_clueweb09-en0007-17-22971,0
20298_clueweb09-en0009-33-60722,3
20530_clueweb09-en0003-87-23070,0
20038_clueweb09-en0004-30-16813,2
20528_clueweb09-en0009-33-26832,3
20034_clueweb09-en0006-94-17788,2
20308_clueweb09-en0009-33-23722,3
20186_clueweb09-en0000-05-02112,0
20412_clueweb09-en0004-30-30320,0
20766_clueweb09-en0001-85-29852,0
20962_clueweb09-en0006-53-12446,1
20962_clueweb09-en0006-53-12448,1
20202_clueweb09-en0008-73-35339,0
20598_clueweb09-en0005-64-26884,0
20932_clueweb09-en0009-33-44172,3
20956_clueweb09-en0009-33-81882,3
20030_clueweb09-en0004-50-16430,2
20976_clueweb09-en0011-71-35701,0
20330_clueweb09-enwp01-10-00276,2
20026_clueweb09-en0010-23-28469,0
20224_clueweb09-en0001-09-14432,0
20180_clueweb09-en0003-82-29666,0
20958_clueweb09-en0002-47-03290,0
20424_clueweb09-en0004-90-07845,0
20228_clueweb09-en0007-44-25460,0
20488_clueweb09-en0009-33-10172,3
20530_clueweb09-en0003-82-12740,2
20932_clueweb09-en0009-33-66252,3
20180_clueweb09-enwp01-91-06942,2
20976_clueweb09-en0002-36-07443,1
20010_clueweb09-en0004-58-21375,2
20932_clueweb09-en0009-33-34242,3
20480_clueweb09-en0009-33-98032,3
20932_clueweb09-en0009-33-40922,3
20202_clueweb09-en0009-33-73532,3
20016_clueweb09-enwp01-81-11931,2
20986_clueweb09-en0010-94-13794,0
20956_clueweb09-en0009-33-78662,3
20528_clueweb09-en0003-29-29746,0
20004_clueweb09-en0005-41-01643,2
20690_clueweb09-en0001-65-05783,0
20488_clueweb09-en0009-33-21502,3
20038_clueweb09-en0009-33-84602,3
20932_clueweb09-en0003-51-19695,2
20340_clueweb09-en0009-14-21016,0
20300_clueweb09-en0009-33-42852,3
20270_clueweb09-enwp00-94-19062,0
20484_clueweb09-en0009-33-77642,3
20112_clueweb09-en0009-33-15342,3
20152_clueweb09-enwp01-16-17785,2
20508_clueweb09-en0007-20-26415,2
20690_clueweb09-en0006-03-26795,0
20962_clueweb09-en0007-59-07251,1
20922_clueweb09-en0004-90-08043,0
20696_clueweb09-en0003-96-27827,0
20010_clueweb09-en0001-85-26958,2
20484_clueweb09-en0009-33-46932,3
20814_clueweb09-en0001-23-17072,0
20956_clueweb09-en0009-33-56342,3
20340_clueweb09-en0009-14-22807,0
20814_clueweb09-en0009-33-55352,3
20644_clueweb09-en0009-33-20792,3
20598_clueweb09-en0009-33-03282,3
20598_clueweb09-en0009-33-78572,3
20214_clueweb09-en0009-33-01262,3
20958_clueweb09-en0002-48-21057,1
20232_clueweb09-en0005-65-43696,0
20922_clueweb09-en0010-84-10284,1
20598_clueweb09-en0009-33-41892,3
20010_clueweb09-en0004-60-02241,1
20046_clueweb09-enwp00-55-04531,2
20962_clueweb09-en0009-33-55352,3
20196_clueweb09-en0008-32-44499,0
20584_clueweb09-en0008-38-13152,1
20186_clueweb09-en0003-00-26184,0
20528_clueweb09-en0009-33-92412,3
20704_clueweb09-en0003-36-31520,0
20488_clueweb09-en0002-64-08765,0
20160_clueweb09-en0009-33-83482,3
20330_clueweb09-en0007-97-15704,1
20180_clueweb09-en0003-62-10887,0
20832_clueweb09-en0011-55-06348,1
20398_clueweb09-en0008-65-22368,0
20010_clueweb09-en0010-02-17611,2
20976_clueweb09-en0009-33-61762,3
20694_clueweb09-en0006-66-24208,0
20112_clueweb09-en0011-39-00162,0
20932_clueweb09-en0009-33-44342,3
20018_clueweb09-en0004-74-03083,2
20018_clueweb09-en0004-74-03084,2
20024_clueweb09-en0003-23-07914,2
20480_clueweb09-en0009-43-09944,0
20528_clueweb09-en0002-36-25018,1
20186_clueweb09-en0003-35-29916,0
20686_clueweb09-en0009-33-83512,3
20922_clueweb09-en0004-52-32341,0
20144_clueweb09-en0003-85-29612,0
20780_clueweb09-en0007-70-19582,0
20484_clueweb09-en0009-33-32962,3
20374_clueweb09-en0005-39-02667,1
20480_clueweb09-en0011-08-08517,2
20642_clueweb09-en0000-66-14668,2
20352_clueweb09-enwp02-21-16801,0
20112_clueweb09-en0007-66-42483,1
20440_clueweb09-en0000-89-03896,0
20196_clueweb09-en0009-33-97832,3
20330_clueweb09-en0008-90-27276,0
20642_clueweb09-en0003-98-23687,0
20002_clueweb09-en0009-33-7798,3
20986_clueweb09-en0007-77-36812,1
20446_clueweb09-en0009-33-63752,3
20972_clueweb09-enwp01-55-13568,2
20232_clueweb09-en0001-20-11683,0
20384_clueweb09-en0007-84-21364,1
20048_clueweb09-en0000-88-30125,1
20780_clueweb09-en0006-29-00181,1
20270_clueweb09-en0008-75-21310,1
20186_clueweb09-en0002-43-03484,0
20636_clueweb09-en0009-33-75022,3
20714_clueweb09-en0009-33-86872,3
20644_clueweb09-en0010-39-27633,0
20270_clueweb09-en0010-50-16267,2
20160_clueweb09-en0009-33-20032,3
20244_clueweb09-en0003-67-03675,0
20962_clueweb09-en0009-33-95412,3
20034_clueweb09-enwp00-51-04994,2
20002_clueweb09-en0010-92-14638,2
20440_clueweb09-en0005-03-06526,1
20202_clueweb09-en0009-33-18612,3
20076_clueweb09-en0004-48-36209,0
20010_clueweb09-en0009-14-23510,2
20010_clueweb09-en0009-14-23511,2
20714_clueweb09-en0009-33-76632,3
20832_clueweb09-en0009-43-24141,1
20160_clueweb09-en0005-88-09200,1
20254_clueweb09-en0004-60-14479,0
20424_clueweb09-en0000-12-02121,0
20694_clueweb09-en0002-02-32549,2
20014_clueweb09-enwp00-47-25169,2
20424_clueweb09-en0000-56-04197,2
20416_clueweb09-en0011-26-07666,0
20196_clueweb09-en0009-33-42012,3
20416_clueweb09-en0011-26-07669,1
20976_clueweb09-en0002-78-30926,0
20010_clueweb09-en0005-02-39304,2
20584_clueweb09-en0009-45-34395,1
20214_clueweb09-en0009-20-08239,0
20778_clueweb09-en0010-83-16747,1
20008_clueweb09-en0006-32-24645,1
20484_clueweb09-en0005-39-27519,2
20488_clueweb09-en0009-33-54822,3
20704_clueweb09-enwp00-86-15384,1
20962_clueweb09-en0008-09-06543,2
20384_clueweb09-en0005-43-05038,1
20030_clueweb09-en0009-33-6287,3
20300_clueweb09-en0006-39-33222,0
20644_clueweb09-en0009-50-20411,2
20244_clueweb09-enwp00-29-07187,0
20340_clueweb09-en0009-33-59972,3
20152_clueweb09-enwp03-10-14422,0
20690_clueweb09-en0009-45-20806,1
20030_clueweb09-en0009-33-2054,3
20690_clueweb09-enwp02-06-22030,1
20044_clueweb09-en0002-96-35733,2
20972_clueweb09-enwp01-18-03851,0
20202_clueweb09-en0008-51-25290,0
20352_clueweb09-en0009-61-11087,0
20206_clueweb09-en0006-58-32335,0
20036_clueweb09-en0000-36-01495,0
20186_clueweb09-en0001-18-30508,0
20296_clueweb09-en0009-33-71732,3
20916_clueweb09-en0010-25-28203,1
20704_clueweb09-en0001-35-16904,0
20042_clueweb09-en0004-81-00981,0
20352_clueweb09-en0001-22-16646,2
20036_clueweb09-en0001-33-14613,1
20704_clueweb09-enwp02-26-02780,1
20690_clueweb09-en0006-13-05330,0
20034_clueweb09-en0009-33-9843,3
20352_clueweb09-en0007-55-42096,1
20300_clueweb09-en0009-33-04432,3
20420_clueweb09-en0007-62-38164,1
20542_clueweb09-en0009-33-88902,3
20332_clueweb09-en0011-92-35374,0
20812_clueweb09-en0007-96-05056,1
20308_clueweb09-en0009-33-47652,3
20764_clueweb09-en0009-41-10775,0
20384_clueweb09-en0001-43-27407,0
20530_clueweb09-en0003-82-12765,0
20416_clueweb09-en0005-52-07382,0
20530_clueweb09-en0003-82-12761,2
20160_clueweb09-en0009-33-94972,3
20298_clueweb09-en0004-00-36564,1
20144_clueweb09-en0009-33-37122,3
20690_clueweb09-enwp00-92-02887,2
20956_clueweb09-en0004-31-22292,2
20270_clueweb09-enwp01-09-04681,0
20290_clueweb09-en0000-54-22341,0
20026_clueweb09-en0010-04-32254,0
20032_clueweb09-en0003-26-03932,1
20694_clueweb09-enwp02-06-09423,2
20196_clueweb09-en0009-33-31872,3
20778_clueweb09-en0009-33-77802,3
20984_clueweb09-en0008-90-21681,2
20332_clueweb09-enwp01-05-02270,0
20962_clueweb09-en0009-33-62432,3
20034_clueweb09-en0009-68-10705,2
20034_clueweb09-en0009-68-10701,2
20332_clueweb09-enwp00-78-22045,0
20528_clueweb09-en0007-40-06681,0
20186_clueweb09-en0010-89-09167,0
20644_clueweb09-enwp01-68-15593,1
20812_clueweb09-en0009-33-35752,3
20112_clueweb09-en0004-30-13904,1
20956_clueweb09-en0009-33-55352,3
20026_clueweb09-en0009-33-11102,3
20922_clueweb09-en0000-81-20349,0
20352_clueweb09-en0007-41-02583,0
20206_clueweb09-en0009-33-14612,3
20542_clueweb09-en0010-92-22779,1
20028_clueweb09-enwp00-71-18342,2
20480_clueweb09-enwp01-89-05640,2
20636_clueweb09-en0003-72-10810,0
20206_clueweb09-en0005-44-07164,1
20176_clueweb09-en0001-59-04850,1
20530_clueweb09-en0009-33-23702,3
20420_clueweb09-en0007-79-10936,0
20764_clueweb09-en0009-33-50362,3
20034_clueweb09-enwp00-45-22027,2
20976_clueweb09-en0007-73-05145,1
20976_clueweb09-en0009-33-60642,3
20308_clueweb09-en0009-33-82992,3
20202_clueweb09-en0008-03-11532,0
20340_clueweb09-en0009-14-23013,2
20330_clueweb09-en0009-28-08074,0
20300_clueweb09-en0009-33-54812,3
20932_clueweb09-en0009-07-06281,0
20180_clueweb09-en0004-15-09810,0
20254_clueweb09-en0009-33-30092,3
20160_clueweb09-en0009-33-55762,3
20152_clueweb09-enwp00-75-21180,1
20044_clueweb09-enwp00-06-01861,1
20956_clueweb09-en0007-62-27041,2
20644_clueweb09-en0008-12-01587,0
20042_clueweb09-en0003-53-26237,0
20528_clueweb09-en0009-33-26722,3
20196_clueweb09-en0003-51-19604,1
20780_clueweb09-enwp00-87-00619,2
20910_clueweb09-en0001-29-02065,1
20922_clueweb09-en0009-33-53602,3
20484_clueweb09-en0009-33-86682,3
20228_clueweb09-en0001-18-32106,0
20004_clueweb09-en0009-33-74672,3
20642_clueweb09-en0009-33-82502,3
20412_clueweb09-en0009-33-06592,3
20232_clueweb09-enwp01-90-15104,2
20832_clueweb09-en0006-83-17435,0
20228_clueweb09-en0010-46-12568,0
20030_clueweb09-en0009-33-6587,3
20228_clueweb09-en0010-46-12566,1
20038_clueweb09-en0000-03-04947,1
20308_clueweb09-enwp01-05-19892,1
20152_clueweb09-en0006-45-33795,1
20152_clueweb09-en0010-50-03883,2
20424_clueweb09-en0002-34-03358,2
20922_clueweb09-en0009-33-05552,3
20034_clueweb09-en0009-33-8581,3
20446_clueweb09-en0009-33-59342,3
20048_clueweb09-en0001-77-19231,0
20254_clueweb09-en0009-33-37452,3
20176_clueweb09-en0009-33-16352,3
20196_clueweb09-en0009-06-09149,1
20642_clueweb09-enwp00-13-00051,0
20416_clueweb09-en0000-35-04124,0
20814_clueweb09-en0009-98-25313,2
20962_clueweb09-en0009-33-35252,3
20024_clueweb09-en0000-08-14899,2
20024_clueweb09-en0000-08-14897,2
20300_clueweb09-en0009-33-83472,3
20232_clueweb09-en0008-98-04362,0
20780_clueweb09-enwp01-21-06870,0
20398_clueweb09-enwp03-36-07342,0
20412_clueweb09-en0009-33-78312,3
20996_clueweb09-en0009-25-09766,2
20202_clueweb09-en0003-34-25466,0
20160_clueweb09-en0002-00-07617,1
20296_clueweb09-en0007-12-10021,1
20040_clueweb09-en0009-33-5892,3
20254_clueweb09-en0009-33-13882,3
20330_clueweb09-enwp00-04-01976,1
20036_clueweb09-en0000-04-02442,1
20298_clueweb09-en0009-33-38472,3
20308_clueweb09-en0009-33-18342,3
20232_clueweb09-en0009-33-55352,3
20296_clueweb09-enwp00-38-07237,2
20398_clueweb09-enwp00-23-18666,1
20714_clueweb09-en0005-14-11527,0
20374_clueweb09-en0002-75-21862,0
20330_clueweb09-en0005-88-00575,2
20270_clueweb09-en0009-47-21161,0
20028_clueweb09-en0007-19-33611,2
20308_clueweb09-en0004-12-25021,0
20308_clueweb09-en0009-33-55952,3
20528_clueweb09-en0000-79-40759,0
20398_clueweb09-enwp02-04-15348,2
20202_clueweb09-en0009-33-55352,3
20984_clueweb09-en0009-33-56672,3
20480_clueweb09-en0009-33-62372,3
20144_clueweb09-en0006-52-31651,0
20484_clueweb09-en0009-33-51812,3
20916_clueweb09-en0009-33-65762,3
20986_clueweb09-en0009-35-03944,0
20528_clueweb09-en0009-33-58112,3
20196_clueweb09-en0003-55-22892,0
20910_clueweb09-en0009-33-42712,3
20006_clueweb09-en0009-33-48652,3
20910_clueweb09-en0001-29-02064,1
20530_clueweb09-en0011-59-25966,0
20202_clueweb09-en0003-92-21305,0
20984_clueweb09-en0003-09-06174,0
20440_clueweb09-en0002-12-02372,0
20374_clueweb09-enwp00-86-22707,2
20034_clueweb09-en0009-33-3695,3
20986_clueweb09-en0005-91-22652,0
20332_clueweb09-en0009-33-89862,3
20152_clueweb09-en0007-36-32138,0
20642_clueweb09-en0007-44-33119,2
20916_clueweb09-en0008-05-35623,0
20010_clueweb09-en0004-58-21334,2
20298_clueweb09-en0009-33-14282,3
20224_clueweb09-en0006-06-36512,1
20484_clueweb09-en0005-11-29895,0
20170_clueweb09-enwp00-51-12489,1
20196_clueweb09-en0009-33-68062,3
20780_clueweb09-en0011-62-15163,0
20996_clueweb09-en0009-33-26142,3
20340_clueweb09-en0009-33-55352,3
20016_clueweb09-en0009-33-3247,3
20202_clueweb09-en0009-33-69422,3
20528_clueweb09-en0009-33-07072,3
20972_clueweb09-en0007-81-27621,0
20416_clueweb09-en0008-02-39406,1
20984_clueweb09-en0000-21-26495,0
20416_clueweb09-en0004-97-22786,0
20152_clueweb09-en0005-33-21954,0
20488_clueweb09-en0009-33-20652,3
20714_clueweb09-enwp01-47-22076,0
20984_clueweb09-en0002-60-21189,1
20814_clueweb09-en0007-20-27316,2
20764_clueweb09-enwp01-58-11132,0
20224_clueweb09-en0009-29-41751,0
20050_clueweb09-en0011-85-09773,2
20064_clueweb09-enwp00-53-17027,1
20102_clueweb09-en0000-86-10398,0
20006_clueweb09-en0002-07-04979,0
20764_clueweb09-enwp00-07-11260,0
20416_clueweb09-en0005-62-34622,1
20296_clueweb09-en0001-78-11850,0
20010_clueweb09-en0004-82-12313,1
20228_clueweb09-en0009-33-43942,3
20044_clueweb09-en0009-33-00542,3
20542_clueweb09-en0003-14-24126,0
20690_clueweb09-en0010-52-18627,2
20244_clueweb09-en0004-87-31076,2
20244_clueweb09-en0007-42-06113,0
20962_clueweb09-en0000-46-13354,0
20932_clueweb09-en0009-33-28862,3
20714_clueweb09-en0009-33-95952,3
20102_clueweb09-en0009-33-68022,3
20412_clueweb09-en0009-33-65482,3
20032_clueweb09-enwp00-95-24083,2
20642_clueweb09-en0009-33-50392,3
20044_clueweb09-en0009-33-55352,3
20778_clueweb09-en0009-33-80352,3
20176_clueweb09-en0009-33-80662,3
20214_clueweb09-en0009-33-74912,3
20224_clueweb09-en0004-45-32267,0
20690_clueweb09-en0010-06-11543,2
20032_clueweb09-en0009-33-23772,3
20048_clueweb09-en0010-78-24746,1
20008_clueweb09-en0003-56-24332,0
20714_clueweb09-enwp01-26-11932,1
20508_clueweb09-enwp01-89-14190,2
20542_clueweb09-en0009-33-51962,3
20446_clueweb09-en0009-33-55352,3
20508_clueweb09-enwp01-70-13745,2
20300_clueweb09-en0003-89-24938,2
20196_clueweb09-en0003-51-19599,1
20300_clueweb09-en0003-89-24933,1
20480_clueweb09-en0009-33-97082,3
20446_clueweb09-en0009-33-20422,3
20016_clueweb09-en0008-83-28319,2
20030_clueweb09-en0005-69-15732,2
20170_clueweb09-en0005-30-34827,1
20308_clueweb09-en0000-96-03702,0
20024_clueweb09-en0009-06-06322,2
20330_clueweb09-en0004-85-11703,0
20958_clueweb09-en0009-33-31712,3
20228_clueweb09-en0001-98-08373,2
20598_clueweb09-en0006-66-17640,0
20332_clueweb09-en0009-33-71262,3
20196_clueweb09-en0009-33-45582,3
20374_clueweb09-en0003-48-01649,1
20030_clueweb09-en0009-37-03873,2
20002_clueweb09-en0009-33-9503,3
20932_clueweb09-en0003-51-19631,2
20976_clueweb09-en0003-02-32115,1
20686_clueweb09-en0000-04-07261,0
20034_clueweb09-en0007-71-28329,2
